MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 16:04:34,4,4.15,0,ProRat2,Poke,Left,0,1,0,,0,ProRat2
2021-01-29 16:12:17,4,4.15,0,ProRat2,Poke,Left,1,1,0,,0,ProRat2
2021-01-29 16:12:19,4,4.15,0,ProRat2,Pellet,Left,1,1,1,1.16,0,ProRat2
2021-01-29 16:14:59,4,4.15,0,ProRat2,Poke,Left,1,2,1,,0,ProRat2
2021-01-29 16:15:01,4,4.15,0,ProRat2,Poke,Left,2,2,1,,0,ProRat2
2021-01-29 16:15:04,4,4.15,0,ProRat2,Pellet,Left,2,2,2,1.1,0,ProRat2
2021-01-29 16:15:27,4,4.15,0,ProRat2,Poke,Left,3,2,2,,0,ProRat2
2021-01-29 16:19:30,4,4.15,0,ProRat2,Poke,Left,3,3,2,,0,ProRat2
2021-01-29 16:19:33,4,4.15,0,ProRat2,Poke,Left,4,3,2,,0,ProRat2
2021-01-29 16:19:35,4,4.15,0,ProRat2,Pellet,Left,4,3,3,0.25,0,ProRat2
2021-01-29 16:19:59,4,4.15,0,ProRat2,Poke,Left,5,3,3,,0,ProRat2
2021-01-29 16:28:49,4,4.15,0,ProRat2,Poke,Left,6,3,3,,0,ProRat2
2021-01-29 16:28:51,4,4.15,0,ProRat2,Pellet,Left,6,3,4,0.55,0,ProRat2
2021-01-29 16:31:57,4,4.15,0,ProRat2,Poke,Left,7,3,4,,0,ProRat2
2021-01-29 16:31:59,4,4.15,0,ProRat2,Poke,Left,8,3,4,,0,ProRat2
2021-01-29 16:32:02,4,4.15,0,ProRat2,Poke,Left,9,3,4,,0,ProRat2
2021-01-29 16:32:07,4,4.15,0,ProRat2,Pellet,Left,9,3,5,0.73,0,ProRat2
2021-01-29 16:32:47,4,4.15,0,ProRat2,Poke,Left,9,4,5,,0,ProRat2
2021-01-29 16:33:51,4,4.15,0,ProRat2,Poke,Left,10,4,5,,0,ProRat2
2021-01-29 16:33:54,4,4.15,0,ProRat2,Poke,Left,11,4,5,,0,ProRat2
